Date,Bankers Counter,Bankers Percent,All matches counter,All matches percent
2021-05-19,19,78.900001525879,108,65.69999694824219
2021-05-21,5,80,43,62.79999923706055
2021-05-23,18,60,161,60.099998474121094
2021-05-22,19,65.199996948242,141,59.20000076293945
2021-05-24,5,100,47,59.849998474121094
2021-05-25,3,66.666603088379,26,53.84619903564453
2021-05-26,2,100,59,55.93220138549805
2021-05-27,4,75,21,38.09519958496094
2021-05-28,1,100,27,62.9630012512207
2021-05-29,13,84.61540222168,99,57.575801849365234
2021-05-30,3,33.333301544189,103,62.13589859008789
2021-06-02,1,100,20,65
2021-06-05,6,100,74,54.054100036621094
2021-06-06,3,33.333301544189,38,65.78949737548828
2021-06-12,7,71.428596496582,97,62.886600494384766
2021-06-13,9,66.666702270508,103,63.1068000793457
2021-06-14,5,40,30,43.33330154418945
2021-06-15,1,100,38,60.52629852294922
2021-06-16,3,66.666603088379,52,67.30770111083984
2021-06-17,3,66.666603088379,38,71.05259704589844
2021-06-18,4,75,48,70.83329772949219
2021-06-19,8,75,78,60.25640106201172
2021-06-20,3,66.666702270508,92,63.04349899291992
2021-06-21,4,75,28,71.42859649658203
2021-06-22,4,75,37,67.56759643554688
2021-06-23,3,66.666702270508,62,64.51609802246094
2021-06-24,2,50,39,46.15380096435547
2021-06-25,1,100,26,53.84619903564453
2021-06-26,7,85.714302062988,72,63.88890075683594
2021-06-27,9,55.555599212646,115,58.26089859008789
2021-06-28,3,66.666000366211,46,52.17390060424805
2021-06-30,5,60,51,56.862701416015625
2021-07-01,4,100,42,59.523799896240234
2021-07-02,2,50,40,47.5
2021-07-03,4,50,84,65.4761962890625
2021-07-04,6,66.666702270508,101,60.395999908447266
2021-07-05,3,33.333301544189,37,67.56759643554688
2021-07-07,0,0,32,53.125
2021-07-08,2,50,32,59.375
2021-07-09,2,100,26,61.53850173950195
2021-07-10,4,50,70,54.285701751708984
2021-07-11,5,60,85,61.17649841308594
2021-07-12,2,50,30,53.33330154418945
2021-07-13,0,0,23,65.21739959716797
2021-07-15,2,0,31,74.193603515625
2021-07-16,1,100,30,60
2021-07-17,11,72.72730255127,124,58.06449890136719
2021-07-18,3,66.666603088379,102,66.66670227050781
2021-07-19,2,100,37,62.162200927734375
2021-07-21,3,100,51,76.47059631347656
2021-07-22,1,0,23,56.52170181274414
2021-07-23,7,71.428596496582,70,64.28569793701172
2021-07-24,3,33.333301544189,65,63.076900482177734
2021-07-25,6,83.333297729492,111,64.86489868164062
2021-07-26,0,0,32,56.25
2021-07-27,3,66.666702270508,46,65.21739959716797
2021-07-28,4,75,66,69.6969985961914
2021-07-30,2,100,83,66.26509857177734
2021-07-31,0,0,151,57.61589813232422
2021-08-01,5,40,177,57.06209945678711
2021-08-02,3,100,68,57.352901458740234
2021-08-03,0,0,29,62.069000244140625
2021-08-04,2,50,39,64.10260009765625
2021-08-05,2,100,20,80
2021-08-06,2,100,88,68.18180084228516
2021-08-08,2,50,170,61.17649841308594
2021-08-09,4,75,78,65.38459777832031
2021-08-11,0,0,20,60
2021-08-12,0,0,25,48
2021-08-13,6,66.666702270508,119,57.14289855957031
2021-08-14,19,63.157901763916,373,61.125999450683594
2021-08-15,14,57.14289855957,243,63.3745002746582
2021-08-16,2,100,69,60.869598388671875
2021-08-17,0,0,89,64.0448989868164
2021-08-18,5,60,100,64
2021-08-19,1,0,53,69.8113021850586
2021-08-20,2,100,110,63.63639831542969
2021-08-21,8,87.5,424,58.4906005859375
2021-08-22,6,50,286,65.03500366210938
2021-08-23,2,50,72,63.88890075683594
2021-08-24,2,50,70,61.4286003112793
2021-08-25,5,80,79,56.96200180053711
2021-08-26,0,0,35,62.85710144042969
2021-08-27,3,100,122,62.295101165771484
2021-08-28,13,69.230796813965,434,60.13819885253906
2021-08-29,5,100,289,65.39790344238281
2021-08-30,0,0,85,65.88240051269531
2021-08-31,1,100,30,66.66670227050781
2021-09-01,6,66.666702270508,48,66.66670227050781
2021-09-02,0,0,42,69.04759979248047
2021-09-03,1,0,72,62.5
2021-09-04,2,50,209,59.80860137939453
2021-09-05,5,40,125,59.20000076293945
2021-09-06,0,0,33,54.545501708984375
2021-09-07,7,57.14289855957,66,59.09090042114258
2021-09-08,5,20,43,46.511600494384766
2021-09-10,8,50,116,54.310298919677734
2021-09-11,10,60,445,60
2021-09-12,4,50,290,65.17240142822266
2021-09-13,1,100,75,62.66669845581055
2021-09-14,3,100,86,50
2021-09-15,5,40,79,59.49369812011719
2021-09-16,3,66.666702270508,42,64.28569793701172
2021-09-17,2,100,116,56.89649963378906
2021-09-18,9,44.444400787354,421,56.76959991455078
2021-09-19,7,57.14289855957,285,61.0526008605957
2021-09-20,3,66.666702270508,60,63.33330154418945
2021-09-21,3,100,65,67.69229888916016
2021-09-22,3,66.666702270508,107,60.74769973754883
2021-09-23,2,100,58,58.62070083618164
2021-09-24,10,40,114,57.01750183105469
2021-09-25,27,59.259300231934,434,58.75579833984375
2021-09-26,11,90.909103393555,328,61.28049850463867
2021-09-27,0,0,52,55.76919937133789
2021-09-28,2,0,61,47.54100036621094
2021-09-29,4,50,78,66.66670227050781
2021-09-30,4,75,40,57.5
2021-10-01,3,66.666702270508,124,61.29029846191406
2021-10-02,22,68.181800842285,401,58.35409927368164
2021-10-03,17,47.058799743652,333,57.65769958496094
2021-10-04,1,100,41,51.21950149536133
2021-10-05,3,66.666702270508,41,48.78049850463867
2021-10-06,2,50,42,69.04759979248047
2021-10-07,5,80,33,66.66670227050781
2021-10-08,8,87.5,85,56.47060012817383
2021-10-09,24,75,253,57.312198638916016
2021-10-10,18,66.666702270508,117,61.53850173950195
2021-10-11,8,75,41,56.097599029541016
2021-10-13,4,75,30,50
2021-10-13,4,75,30,50
2021-10-14,3,100,24,58.33330154418945
2021-10-26,6,50,91,62.63740158081055
2021-10-29,7,71.428596496582,98,68.36730194091797
2021-10-30,17,76.470596313477,382,65.44499969482422
2021-10-30,17,76.470596313477,382,65.44499969482422
2021-11-01,2,50,79,73.4177017211914
2021-11-02,2,50,65,67.69229888916016
2021-11-03,2,100,70,64.28569793701172
2021-11-04,0,0,36,77.77780151367188
2021-11-05,5,60,121,73.55370330810547
2021-11-06,14,92.85710144043,411,66.42340087890625
2021-11-07,25,72,312,68.9103012084961
2021-11-08,1,100,30,73.33329772949219
2021-11-09,0,0,29,62.069000244140625
2021-11-10,0,0,25,60
2021-11-11,7,57.14289855957,41,70.73169708251953
2021-11-12,1,100,43,72.09300231933594
2021-11-13,5,40,176,58.522701263427734
2021-11-14,4,100,111,72.07209777832031
2021-11-15,4,25,43,60.4650993347168
2021-11-16,2,100,41,75.60980224609375
2021-11-17,3,0,22,45.454498291015625
2021-11-19,4,50,100,71
2021-11-20,15,73.333297729492,419,63.007198333740234
2021-11-21,9,44.444400787354,275,68
2021-11-22,5,40,52,57.692298889160156
2021-11-23,2,50,77,67.53250122070312
2021-11-24,2,50,73,61.643798828125
2021-11-25,3,66.666702270508,64,60.9375
2021-11-26,3,66.666702270508,84,64.28569793701172
2021-11-27,5,60,310,62.58060073852539
2021-11-28,11,72.72730255127,266,65.03759765625
2021-11-29,2,100,41,73.17070007324219
2021-11-30,2,50,55,74.54550170898438
2021-12-01,4,75,65,73.84619903564453
2021-12-02,2,100,28,67.85710144042969
2021-12-03,4,50,87,60.919498443603516
2021-12-04,6,100,305,65.57379913330078
2021-12-05,5,100,221,70.13569641113281
2021-12-06,3,66.666702270508,48,72.91670227050781
2021-12-07,0,0,48,66.66670227050781
2021-12-08,1,0,41,60.97560119628906
2021-12-09,4,75,43,74.4186019897461
2021-12-10,3,66.666702270508,75,61.33330154418945
2021-12-11,5,60,297,69.02359771728516
2021-12-12,4,50,158,67.0886001586914
2021-12-13,0,0,31,70.96769714355469
2021-12-14,2,100,42,69.04759979248047
2021-12-15,5,100,44,70.45449829101562
2021-12-16,2,100,27,74.0740966796875
2021-12-17,5,40,53,56.60380172729492
2021-12-18,3,33.333301544189,188,62.76599884033203
2021-12-19,5,40,125,69.5999984741211
2021-12-21,0,0,43,81.39530181884766
2021-12-22,4,75,66,63.63639831542969
2021-12-25,1,100,32,62.5
2021-12-26,4,75,93,64.51609802246094
2021-12-27,4,100,42,66.66670227050781
2021-12-28,2,0,48,60.41669845581055
2021-12-29,1,100,32,65.625
2021-12-30,1,100,20,55
2022-01-01,3,66.666702270508,59,55.93220138549805
2022-01-02,1,0,69,66.66670227050781
2022-01-03,4,100,33,54.545501708984375
2022-01-07,3,33.333301544189,30,76.66670227050781
2022-01-08,1,100,127,61.417301177978516
2022-01-09,2,100,55,67.27269744873047
2022-01-11,0,0,42,61.90480041503906
2022-01-14,1,100,33,60.60609817504883
2022-01-15,6,83.333297729492,179,64.80449676513672
2022-01-16,10,80,82,63.41460037231445
2022-01-17,3,100,23,73.91300201416016
2022-01-18,3,100,44,70.45449829101562
2022-01-19,3,66.666702270508,28,46.4286003112793
2022-01-21,2,100,57,70.17539978027344
2022-01-22,8,75,232,64.2240982055664
2022-01-23,6,83.333297729492,109,66.97250366210938
2022-01-25,2,50,87,65.51719665527344
2022-01-26,0,0,56,66.07140350341797
2022-01-27,0,0,27,59.259300231933594
2022-01-28,0,0,42,66.66670227050781
2022-01-29,2,50,214,60.74769973754883
2022-01-30,0,0,121,58.67770004272461
2022-01-31,0,0,21,47.61899948120117
2022-02-01,2,50,68,63.23529815673828
2022-02-02,1,100,66,68.18180084228516
2022-02-03,0,0,31,64.51609802246094
2022-02-04,1,100,62,79.03230285644531
2022-02-05,8,62.5,291,63.91749954223633
2022-02-06,2,100,191,66.49210357666016
2022-02-07,0,0,34,76.47059631347656
2022-02-08,1,100,83,72.28919982910156
2022-02-09,3,100,69,68.11589813232422
2022-02-10,1,100,36,63.88890075683594
2022-02-11,2,0,77,72.72730255126953
2022-02-12,7,57.14289855957,325,68.30770111083984
2022-02-13,2,100,224,66.07140350341797
2022-02-14,2,100,49,67.3469009399414
2022-02-15,2,100,88,57.954498291015625
2022-02-16,3,33.333301544189,84,64.28569793701172
2022-02-17,2,100,39,53.84619903564453
2022-02-18,1,0,72,59.722198486328125
2022-02-19,14,57.14289855957,336,65.17859649658203
2022-02-20,10,60,256,67.1875
2022-02-21,0,0,52,57.692298889160156
2022-02-22,2,100,85,60
2022-02-23,4,75,83,62.65060043334961
2022-02-24,0,0,35,51.4286003112793
2022-02-25,7,85.714302062988,122,71.3115005493164
2022-02-26,14,78.571403503418,393,65.9032974243164
2022-02-27,7,42.85710144043,301,64.45179748535156
2022-02-28,4,50,59,62.71189880371094
2022-03-01,4,100,90,66.66670227050781
2022-03-02,2,100,88,70.45449829101562
2022-03-03,2,100,33,72.72730255126953
2022-03-04,1,100,109,61.467899322509766
2022-03-05,14,71.428596496582,445,63.59550094604492
2022-03-06,17,82.352897644043,331,69.78849792480469
2022-03-07,3,100,71,61.9718017578125
2022-03-08,5,60,85,64.70590209960938
2022-03-09,2,50,118,68.64409637451172
2022-03-10,1,100,43,55.81399917602539
2022-03-11,8,62.5,118,68.64409637451172
2022-03-12,11,81.818199157715,410,66.09760284423828
2022-03-13,18,66.666702270508,329,63.82979965209961
2022-03-14,5,60,55,58.181800842285156
2022-03-15,5,40,112,72.32140350341797
2022-03-16,1,100,81,60.49380111694336
2022-03-17,2,100,35,51.4286003112793
2022-03-18,8,75,124,60.4838981628418
2022-03-19,13,61.538501739502,437,67.9634017944336
2022-03-20,20,55,305,66.55740356445312
2022-03-21,0,0,33,84.84850311279297
2022-03-22,3,100,72,65.27780151367188
2022-03-23,0,0,48,70.83329772949219
2022-03-24,0,0,40,72.5
2022-03-26,8,87.5,213,62.91080093383789
2022-03-27,5,80,119,72.2688980102539
2022-03-29,3,33.333301544189,38,68.42109680175781
2022-03-30,5,100,130,63.84619903564453
2022-03-31,1,0,30,56.66669845581055
2022-04-01,8,87.5,110,62.727298736572266
2022-04-02,30,76.666702270508,458,63.53710174560547
2022-04-03,20,75,371,65.2291030883789
2022-04-04,8,75,74,72.9729995727539
2022-04-05,10,80,105,69.5238037109375
2022-04-06,7,71.428596496582,145,62.75859832763672
2022-04-07,0,0,21,71.42859649658203
2022-04-08,4,25,104,57.692298889160156
2022-04-09,32,81.25,493,67.54560089111328
2022-04-10,29,82.758598327637,451,67.84919738769531
2022-04-11,3,66.666702270508,66,66.66670227050781
2022-04-12,3,66.666702270508,46,63.04349899291992
2022-04-13,6,66.666702270508,66,63.63639831542969
2022-04-14,4,25,121,61.98350143432617
2022-04-15,12,66.666702270508,198,66.1615982055664
2022-04-16,22,72.72730255127,406,64.28569793701172
2022-04-17,11,63.63639831543,277,60.28879928588867
2022-04-18,12,75,253,67.98419952392578
2022-04-19,3,33.333301544189,76,61.842098236083984
2022-04-20,5,60,118,66.10169982910156
2022-04-21,1,100,48,60.41669845581055
2022-04-22,6,66.666702270508,110,60
2022-04-23,21,76.190498352051,483,63.97520065307617
2022-04-24,21,76.190498352051,395,63.79750061035156
2022-04-25,1,100,94,61.70209884643555
2022-04-26,3,100,55,69.09089660644531
2022-04-27,3,66.666702270508,127,72.44090270996094
2022-04-28,0,0,29,51.724098205566406
2022-04-29,9,33.333301544189,167,55.6885986328125
2022-04-30,19,73.684196472168,433,65.58889770507812
2022-05-01,17,82.352897644043,324,68.51850128173828
2022-05-02,5,40,106,65.09429931640625
2022-05-03,2,100,52,65.38459777832031
2022-05-04,4,75,117,65.81199645996094
2022-05-05,2,100,40,62.5
2022-05-06,11,72.72730255127,149,69.12750244140625
2022-05-07,28,75,459,70.15249633789062
2022-05-08,20,70,375,68.2667007446289
2022-05-09,0,0,57,59.64910125732422
2022-05-10,9,88.888900756836,75,68
2022-05-11,8,87.5,91,65.93409729003906
2022-05-12,2,0,48,62.5
2022-05-13,3,100,103,74.7573013305664
2022-05-14,20,65,348,64.94249725341797
2022-05-15,30,60,377,66.84349822998047
2022-05-16,6,50,72,59.722198486328125
2022-05-17,3,100,44,59.09090042114258
2022-05-18,5,60,44,65.90910339355469
2022-05-19,1,100,41,73.17070007324219
2022-05-20,3,33.333301544189,79,63.291099548339844
2022-05-21,10,70,274,60.94889831542969
2022-05-22,10,60,289,68.51210021972656
2022-05-23,5,60,52,67.30770111083984
2022-05-24,1,100,28,50
2022-05-25,4,75,67,59.701499938964844
2022-05-26,0,0,37,64.86489868164062
2022-05-27,2,100,59,64.40679931640625
2022-05-28,1,100,136,69.85289764404297
2022-05-29,5,80,164,65.243896484375
2022-05-30,2,50,26,76.92310333251953
2022-06-01,0,0,17,47.058799743652344
2022-06-02,2,100,33,57.575801849365234
2022-06-03,2,50,34,55.88240051269531
2022-06-04,3,66.666702270508,75,70.66670227050781
2022-06-05,4,100,82,64.63410186767578
2022-06-06,1,100,36,58.33330154418945
2022-06-07,1,0,26,65.38459777832031
2022-06-08,3,100,27,59.259300231933594
2022-06-09,0,0,26,57.692298889160156
2022-06-10,2,100,30,83.33329772949219
2022-06-11,3,66.666702270508,76,71.05259704589844
2022-06-12,2,50,73,60.27399826049805
2022-06-13,1,100,17,52.941200256347656
2022-06-14,2,100,25,76
2022-06-15,1,0,28,71.42859649658203
2022-06-16,2,100,41,65.85369873046875
2022-06-17,2,100,34,58.82350158691406
2022-06-18,6,66.666702270508,108,68.51850128173828
2022-06-19,4,50,89,66.29209899902344
2022-06-20,2,50,25,84
2022-06-21,1,100,22,81.81819915771484
2022-06-22,3,33.333301544189,39,66.66670227050781
2022-06-24,4,25,26,65.38459777832031
2022-06-25,2,0,76,60.52629852294922
2022-06-26,2,50,123,56.097599029541016
2022-06-27,0,0,33,75.75759887695312
2022-06-28,0,0,13,69.23079681396484
2022-06-29,0,0,29,72.41380310058594
2022-06-30,0,0,17,41.17649841308594
2022-07-01,0,0,36,69.44439697265625
2022-07-02,1,0,110,62.727298736572266
2022-07-03,2,100,112,64.28569793701172
2022-07-04,1,100,35,68.57140350341797
2022-07-05,0,0,33,60.60609817504883
2022-07-06,0,0,45,51.11109924316406
2022-07-07,0,0,46,69.56520080566406
2022-07-08,1,100,30,60
2022-07-09,2,100,96,72.91670227050781
2022-07-10,1,0,116,69.82759857177734
2022-07-11,0,0,38,68.42109680175781
2022-07-12,1,100,32,62.5
2022-07-13,2,100,17,58.82350158691406
2022-07-14,4,75,48,60.41669845581055
2022-07-15,0,0,57,80.70179748535156
2022-07-16,1,0,151,67.54969787597656
2022-07-17,0,0,151,66.2251968383789
2022-07-18,0,0,27,59.259300231933594
2022-07-19,0,0,39,61.53850173950195
2022-07-20,1,100,31,67.74189758300781
2022-07-21,0,0,61,57.37699890136719
2022-07-22,0,0,59,72.88140106201172
2022-07-23,0,0,162,64.19750213623047
2022-07-24,4,100,176,72.72730255126953
2022-07-25,0,0,47,65.9573974609375
2022-07-26,0,0,41,70.73169708251953
2022-07-27,0,0,47,59.574501037597656
2022-07-28,8,62.5,64,68.75
2022-07-29,0,0,56,66.07140350341797
2022-07-30,4,50,260,68.46150207519531
2022-07-31,7,71.428596496582,215,65.5813980102539
2022-08-01,1,100,58,58.62070083618164
2022-08-02,1,0,38,60.52629852294922
2022-08-03,0,0,37,70.27030181884766
2022-08-04,8,62.5,66,62.12120056152344
2022-08-05,5,100,99,72.72730255126953
2022-08-06,8,87.5,350,60.5713996887207
2022-08-07,6,100,263,69.20149993896484
2022-08-09,3,66.666702270508,48,68.75
2022-08-10,1,100,66,57.575801849365234
2022-08-11,2,50,56,66.07140350341797
2022-08-12,5,100,111,65.76580047607422
2022-08-13,18,77.777801513672,400,65.25
2022-08-14,6,83.333297729492,290,67.58619689941406
2022-08-15,5,100,82,65.85369873046875
2022-08-16,2,100,102,73.52940368652344
2022-08-17,3,66.666702270508,68,70.58820343017578
2022-08-18,3,100,64,62.5
2022-08-19,3,66.666702270508,114,66.66670227050781
2022-08-20,11,54.545501708984,412,63.592201232910156
2022-08-21,11,81.818199157715,295,66.4406967163086
2022-08-22,7,42.85710144043,72,69.44439697265625
2022-08-23,3,66.666702270508,58,60.34479904174805
2022-08-24,2,50,52,63.46149826049805
2022-08-25,2,50,50,72
2022-08-26,3,66.666702270508,141,73.75890350341797
2022-08-27,22,54.545501708984,448,61.83039855957031
2022-08-28,5,60,302,68.21189880371094
2022-08-29,2,50,108,62.9630012512207
2022-08-30,5,40,74,63.51350021362305
2022-08-31,4,75,117,71.7948989868164
2022-09-01,2,50,61,62.295101165771484
2022-09-02,1,0,117,67.52140045166016
2022-09-03,10,60,437,66.59040069580078
2022-09-04,8,25,349,63.037200927734375
2022-09-05,0,0,97,65.97940063476562
2022-09-06,3,100,48,66.66670227050781
2022-09-07,1,0,50,58
2022-09-08,5,40,61,60.65570068359375
2022-09-09,5,80,124,70.96769714355469
2022-09-10,6,100,362,68.78450012207031
2022-09-11,5,80,346,64.45089721679688
2022-09-12,2,100,70,65.71430206298828
2022-09-13,4,75,128,76.5625
2022-09-14,4,100,117,72.64959716796875
2022-09-15,3,100,73,61.643798828125
2022-09-16,2,100,108,76.85189819335938
2022-09-17,6,16.666700363159,399,67.16790008544922
2022-09-18,10,70,380,73.15789794921875
2022-09-19,0,0,39,64.10260009765625
2022-09-20,3,100,32,59.375
2022-09-21,0,0,19,78.94740295410156
2022-09-22,2,0,26,76.92310333251953
2022-09-23,0,0,59,57.62710189819336
2022-09-24,7,57.14289855957,211,69.66819763183594
2022-09-25,1,0,138,67.39129638671875
2022-09-26,2,50,32,68.75
2022-09-27,1,100,37,67.56759643554688
2022-09-28,1,100,35,68.57140350341797
2022-09-29,0,0,29,75.86209869384766
2022-09-30,6,66.666702270508,127,76.37799835205078
2022-10-01,5,40,483,65.42440032958984
2022-10-02,4,75,332,66.56629943847656
2022-10-03,1,0,78,67.94869995117188
2022-10-04,1,100,84,61.90480041503906
2022-10-05,0,0,85,76.47059631347656
2022-10-06,4,100,65,69.23079681396484
2022-10-07,1,100,137,66.42340087890625
2022-10-08,4,75,418,68.6603012084961
2022-10-09,7,85.714302062988,369,67.75070190429688
2022-10-10,1,100,79,74.68350219726562
2022-10-11,1,0,57,64.91230010986328
2022-10-12,1,100,54,74.0740966796875
2022-10-13,2,50,64,65.625
2022-10-14,5,80,130,76.92310333251953
2022-10-15,6,66.666702270508,279,68.45880126953125
2022-10-16,12,91.666702270508,213,76.52580261230469
2022-10-17,3,33.333301544189,46,67.39129638671875
2022-10-18,1,100,29,65.51719665527344
2022-10-19,0,0,85,64.70590209960938
2022-10-20,0,0,45,77.77780151367188
2022-10-21,2,100,95,64.21050262451172
2022-10-22,10,100,403,68.98259735107422
2022-10-23,6,16.666700363159,332,68.97589874267578
2022-10-24,0,0,94,73.404296875
2022-10-25,1,0,95,71.57890319824219
2022-10-26,0,0,36,80.55560302734375
2022-10-27,1,100,51,72.54900360107422
2022-10-28,5,100,104,76.92310333251953
2022-10-29,14,64.285697937012,387,69.50900268554688
2022-10-30,17,82.352897644043,304,68.75
2022-10-31,3,33.333301544189,49,71.42859649658203
2022-11-01,0,0,56,69.64289855957031
2022-11-02,2,100,44,70.45449829101562
2022-11-03,8,50,60,71.66670227050781
2022-11-04,3,66.666702270508,102,72.54900360107422
2022-11-05,13,92.30770111084,357,68.62750244140625
2022-11-06,7,71.428596496582,279,73.47669982910156
2022-11-07,3,33.333301544189,41,75.60980224609375
2022-11-08,2,50,92,58.69559860229492
2022-11-09,2,50,81,77.77780151367188
2022-11-10,0,0,30,70
2022-11-11,0,0,69,75.36229705810547
2022-11-12,10,70,345,67.53620147705078
2022-11-13,11,90.909103393555,221,75.11309814453125
2022-11-14,0,0,30,63.33330154418945
2022-11-15,1,100,14,57.14289855957031
2022-11-17,0,0,11,72.72730255126953
2022-11-18,1,100,24,54.16669845581055
2022-11-19,4,50,164,64.02439880371094
2022-11-20,2,100,87,74.71260070800781
2022-11-21,0,0,18,83.33329772949219
2022-11-22,3,66.666702270508,22,68.18180084228516
2022-11-23,2,50,23,60.869598388671875
2022-11-25,2,50,25,60
2022-11-26,1,0,125,61.599998474121094
2022-11-27,1,100,73,65.75340270996094
2022-11-28,1,100,20,70
2022-11-29,0,0,24,70.83329772949219
2022-12-01,3,100,16,50
2022-12-02,1,100,40,67.5
2022-12-03,8,75,155,74.193603515625
2022-12-04,4,75,76,71.05259704589844
2022-12-05,1,100,14,71.42859649658203
2022-12-06,1,100,14,85.71430206298828
2022-12-07,1,0,30,66.66670227050781
2022-12-08,1,100,29,75.86209869384766
2022-12-09,0,0,20,65
2022-12-10,2,50,104,65.38459777832031
2022-12-11,3,100,89,67.41570281982422
2022-12-12,1,0,23,69.56520080566406
2022-12-13,0,0,13,38.46149826049805
2022-12-15,0,0,24,66.66670227050781
2022-12-16,1,100,36,77.77780151367188
2022-12-17,0,0,77,75.32469940185547
2022-12-18,7,71.428596496582,48,72.91670227050781
2022-12-19,1,100,28,60.714298248291016
2022-12-20,0,0,26,57.692298889160156
2022-12-21,0,0,26,80.76920318603516
2022-12-22,0,0,26,76.92310333251953
2022-12-23,2,100,43,69.76740264892578
2022-12-24,1,100,39,71.7948989868164
2022-12-25,2,50,19,73.68419647216797
2022-12-26,7,71.428596496582,127,74.01570129394531
2022-12-27,1,100,24,79.16670227050781
2022-12-29,3,33.333301544189,48,79.16670227050781
2022-12-30,3,66.666702270508,45,80
2023-01-01,3,0,59,61.01689910888672
